Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Precious Achiuwa,C,23.0,TOR,38.0,11.0,23.3,3.9,8.1,0.482,"0,482",0.5,2.0,0.26,3.4,6.1,0.557,0.515,1.9,2.8,0.689,2.0,4.6,6.6,1.0,0.6,0.7,1.2,2.1,10.2,Bad
Steven Adams,C,29.0,MEM,42.0,42.0,27.0,3.7,6.3,0.597,"0,597",0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,Bad
Bam Adebayo,C,25.0,MIA,57.0,57.0,35.0,8.4,15.7,0.536,"0,536",0.0,0.2,0.083,8.4,15.5,0.543,0.537,4.4,5.5,0.8,2.6,7.2,9.8,3.2,1.2,0.8,2.5,2.8,21.2,Good
Ochai Agbaji,SG,22.0,UTA,39.0,2.0,15.6,1.8,3.8,0.483,"0,483",0.9,2.3,0.396,0.9,1.5,0.621,0.604,0.4,0.6,0.682,0.7,1.1,1.8,0.6,0.2,0.1,0.3,1.4,5.0,Bad
Santi Aldama,PF,22.0,MEM,56.0,18.0,22.0,3.3,7.0,0.474,"0,474",1.4,3.7,0.364,2.0,3.3,0.601,0.571,1.4,1.9,0.729,1.0,3.6,4.6,1.2,0.7,0.7,0.7,1.9,9.4,Bad
Nickeil Alexander-Walker,SG,24.0,TOT,40.0,3.0,14.5,2.3,4.9,0.479,"0,479",1.0,2.4,0.412,1.3,2.4,0.546,0.582,0.7,1.0,0.675,0.3,1.4,1.7,2.0,0.6,0.4,1.2,1.5,6.3,Bad
Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,"0,488",1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,Bad
Nickeil Alexander-Walker,SG,24.0,MIN,4.0,0.0,13.0,2.5,6.0,0.417,"0,417",1.3,2.5,0.5,1.3,3.5,0.357,0.521,0.0,0.3,0.0,0.5,1.5,2.0,0.5,0.3,0.5,1.0,0.8,6.3,Bad
Grayson Allen,SG,27.0,MIL,56.0,54.0,27.6,3.4,7.8,0.44,"0,440",2.0,4.9,0.404,1.4,2.8,0.503,0.569,1.7,1.9,0.906,0.9,2.5,3.4,2.4,0.8,0.2,1.1,1.6,10.5,Bad
Jarrett Allen,C,24.0,CLE,57.0,57.0,33.2,6.2,9.4,0.654,"0,654",0.0,0.2,0.111,6.2,9.3,0.664,0.655,2.5,3.4,0.733,3.2,6.7,9.9,1.6,0.8,1.2,1.5,2.2,14.8,Bad
Jose Alvarado,PG,24.0,NOP,61.0,10.0,21.5,3.3,8.0,0.411,"0,411",1.4,4.0,0.336,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,Bad
Kyle Anderson,PF,29.0,MIN,50.0,34.0,26.2,3.2,6.3,0.503,"0,503",0.6,1.4,0.423,2.6,4.9,0.527,0.551,1.7,2.2,0.764,0.8,4.1,4.8,4.1,1.1,0.9,1.4,2.1,8.6,Bad
Giannis Antetokounmpo,PF,28.0,MIL,48.0,48.0,32.5,11.1,20.7,0.538,"0,538",0.8,2.9,0.27,10.3,17.7,0.583,0.557,8.2,12.7,0.646,2.3,9.7,12.0,5.4,0.8,0.8,3.9,3.3,31.3,Good
Thanasis Antetokounmpo,SF,30.0,MIL,26.0,0.0,4.1,0.2,0.8,0.25,"0,250",0.0,0.2,0.0,0.2,0.6,0.313,0.25,0.2,0.3,0.5,0.3,0.7,1.0,0.2,0.1,0.1,0.3,0.5,0.5,Bad
Cole Anthony,PG,22.0,ORL,42.0,3.0,24.7,4.1,9.4,0.435,"0,435",1.1,3.2,0.333,3.0,6.2,0.488,0.492,2.5,2.8,0.89,0.6,3.9,4.5,4.1,0.6,0.6,1.5,2.5,11.8,Bad
OG Anunoby,SF,25.0,TOR,48.0,48.0,35.8,6.1,13.4,0.453,"0,453",1.8,5.1,0.356,4.3,8.3,0.514,0.522,2.4,2.9,0.825,1.4,3.9,5.4,2.0,2.0,0.8,2.1,3.0,16.4,Bad
Ryan Arcidiacono,PG,28.0,TOT,14.0,1.0,4.9,0.3,1.0,0.286,"0,286",0.3,0.6,0.444,0.0,0.4,0.0,0.429,0.0,0.0,,0.0,0.7,0.7,0.6,0.1,0.0,0.2,0.4,0.9,Bad
Ryan Arcidiacono,PG,28.0,NYK,11.0,0.0,2.4,0.1,0.5,0.2,"0,200",0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3,Bad
Ryan Arcidiacono,PG,28.0,POR,3.0,1.0,14.3,1.0,3.0,0.333,"0,333",1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.7,1.0,3.0,Bad
Deni Avdija,SF,22.0,WAS,58.0,33.0,26.3,3.3,7.4,0.439,"0,439",0.9,3.1,0.294,2.4,4.4,0.539,0.499,1.7,2.2,0.752,1.0,5.2,6.2,2.6,0.9,0.5,1.5,2.9,9.1,Bad
Deandre Ayton,C,24.0,PHO,53.0,53.0,30.3,8.2,13.8,0.591,"0,591",0.1,0.4,0.304,8.0,13.4,0.6,0.595,2.2,3.0,0.739,2.8,7.3,10.1,2.0,0.6,0.8,1.9,2.8,18.7,Bad
Udoka Azubuike,C,23.0,UTA,25.0,0.0,5.8,0.9,1.1,0.852,"0,852",0.0,0.0,,0.9,1.1,0.852,0.852,0.1,0.2,0.333,0.6,1.6,2.2,0.2,0.2,0.2,0.4,0.5,1.9,Bad
Marvin Bagley III,C,23.0,DET,27.0,13.0,21.6,4.7,8.7,0.538,"0,538",0.3,1.4,0.243,4.4,7.4,0.593,0.557,1.6,2.3,0.698,2.5,4.1,6.6,0.6,0.5,0.7,0.9,2.0,11.4,Bad
Patrick Baldwin Jr.,SF,20.0,GSW,19.0,0.0,8.8,1.9,4.2,0.45,"0,450",1.5,3.3,0.468,0.4,0.9,0.389,0.631,0.2,0.3,0.667,0.1,1.5,1.5,0.2,0.3,0.1,0.4,0.4,5.5,Bad
LaMelo Ball,PG,21.0,CHO,36.0,36.0,35.2,8.2,20.0,0.411,"0,411",4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,Good
Mo Bamba,C,24.0,TOT,43.0,6.0,16.9,2.6,5.3,0.485,"0,485",1.0,2.7,0.385,1.5,2.6,0.591,0.584,0.9,1.4,0.661,1.1,3.7,4.8,1.0,0.3,1.0,0.6,2.3,7.1,Bad
Mo Bamba,C,24.0,ORL,40.0,6.0,17.0,2.7,5.4,0.495,"0,495",1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3,Bad
Mo Bamba,C,24.0,LAL,3.0,0.0,14.7,1.3,4.3,0.308,"0,308",0.7,3.0,0.222,0.7,1.3,0.5,0.385,1.3,2.7,0.5,0.7,6.7,7.3,0.7,0.0,1.0,1.0,3.7,4.7,Bad
Paolo Banchero,PF,20.0,ORL,55.0,55.0,33.7,6.5,15.5,0.421,"0,421",1.1,4.1,0.274,5.4,11.4,0.474,0.457,5.7,7.6,0.754,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.2,19.9,Bad
Desmond Bane,SG,24.0,MEM,37.0,37.0,31.1,7.5,16.2,0.463,"0,463",3.0,7.2,0.416,4.5,8.9,0.502,0.556,3.3,3.6,0.904,0.7,4.2,5.0,4.1,1.0,0.4,2.2,2.4,21.3,Good
Dalano Banton,PG,23.0,TOR,27.0,2.0,9.3,1.7,4.1,0.411,"0,411",0.5,1.7,0.283,1.2,2.4,0.5,0.469,0.6,0.7,0.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4,Bad
Dominick Barlow,SF,19.0,SAS,11.0,0.0,10.1,1.3,2.4,0.538,"0,538",0.0,0.4,0.0,1.3,2.0,0.636,0.538,0.8,0.9,0.9,1.3,1.3,2.5,0.6,0.2,0.2,0.5,1.9,3.4,Bad
Harrison Barnes,PF,30.0,SAC,60.0,60.0,32.6,4.5,9.6,0.469,"0,469",1.6,4.4,0.37,2.9,5.2,0.553,0.554,4.1,4.9,0.836,1.0,3.6,4.6,1.6,0.8,0.1,1.1,1.3,14.7,Bad
Scottie Barnes,PF,21.0,TOR,59.0,58.0,35.3,6.0,13.3,0.453,"0,453",0.9,3.1,0.301,5.1,10.2,0.499,0.488,2.6,3.4,0.769,2.3,4.7,7.0,4.8,1.0,0.9,2.1,2.2,15.5,Bad
RJ Barrett,SG,22.0,NYK,56.0,56.0,34.1,6.9,16.1,0.429,"0,429",1.8,5.4,0.33,5.1,10.7,0.479,0.484,4.0,5.3,0.753,0.9,4.3,5.2,2.8,0.5,0.2,2.3,2.6,19.5,Bad
Will Barton,SG,32.0,WAS,40.0,0.0,19.6,2.8,7.1,0.387,"0,387",1.3,3.4,0.38,1.5,3.7,0.395,0.479,0.9,1.1,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7,Bad
Charles Bassey,C,22.0,SAS,28.0,1.0,13.9,2.2,3.4,0.642,"0,642",0.1,0.3,0.429,2.1,3.1,0.659,0.658,0.7,1.0,0.655,2.1,3.4,5.5,1.3,0.4,0.9,1.1,2.1,5.1,Bad
Keita Bates-Diop,SF,27.0,SAS,47.0,25.0,20.6,3.1,6.4,0.492,"0,492",0.6,1.6,0.364,2.5,4.7,0.536,0.538,1.4,1.8,0.791,1.0,2.4,3.4,1.2,0.7,0.3,0.8,1.0,8.3,Bad
Nicolas Batum,PF,34.0,LAC,59.0,11.0,22.0,2.1,5.0,0.418,"0,418",1.6,4.1,0.384,0.5,0.9,0.564,0.574,0.5,0.7,0.667,0.9,3.3,4.2,1.5,0.6,0.7,0.7,2.0,6.3,Bad
Darius Bazley,PF,22.0,OKC,36.0,1.0,15.4,2.0,4.4,0.449,"0,449",0.5,1.3,0.4,1.5,3.1,0.469,0.506,1.0,1.8,0.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,1.0,5.4,Bad
Bradley Beal,SG,29.0,WAS,38.0,38.0,33.0,8.7,16.8,0.515,"0,515",1.7,4.6,0.371,6.9,12.2,0.569,0.566,3.7,4.4,0.839,0.8,2.8,3.6,5.3,0.9,0.7,2.8,1.9,22.7,Good
Malik Beasley,SG,26.0,TOT,60.0,16.0,26.6,4.8,12.2,0.396,"0,396",3.1,8.6,0.359,1.7,3.6,0.484,0.523,0.6,0.8,0.787,0.5,3.1,3.5,1.7,0.9,0.1,1.1,1.5,13.4,Bad
Malik Beasley,SG,26.0,UTA,55.0,13.0,26.8,4.8,12.2,0.396,"0,396",3.1,8.6,0.359,1.7,3.6,0.485,0.522,0.7,0.8,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,Bad
Malik Beasley,SG,26.0,LAL,5.0,3.0,24.2,5.0,12.8,0.391,"0,391",3.4,9.4,0.362,1.6,3.4,0.471,0.523,0.0,0.6,0.0,0.0,2.6,2.6,1.6,1.8,0.0,1.4,2.4,13.4,Bad
MarJon Beauchamp,SF,22.0,MIL,39.0,9.0,14.6,2.1,5.2,0.396,"0,396",1.0,3.1,0.319,1.1,2.1,0.506,0.49,0.5,0.7,0.724,0.9,1.5,2.4,0.7,0.5,0.1,0.9,1.5,5.6,Bad
Dāvis Bertāns,PF,30.0,DAL,34.0,0.0,10.6,1.4,3.3,0.423,"0,423",1.1,2.9,0.381,0.3,0.4,0.714,0.59,0.3,0.4,0.833,0.2,0.8,0.9,0.4,0.2,0.1,0.3,1.1,4.1,Bad
Patrick Beverley,PG,34.0,TOT,47.0,47.0,26.8,2.1,5.3,0.398,"0,398",1.2,3.5,0.341,0.9,1.8,0.506,0.51,0.9,1.2,0.764,0.6,2.6,3.2,2.6,0.9,0.6,0.9,2.7,6.3,Bad
Patrick Beverley,PG,34.0,LAL,45.0,45.0,26.9,2.2,5.4,0.402,"0,402",1.2,3.5,0.348,0.9,1.8,0.506,0.517,0.9,1.1,0.78,0.5,2.6,3.1,2.6,0.9,0.6,0.9,2.8,6.4,Bad
Patrick Beverley,PG,34.0,CHI,2.0,2.0,24.0,1.0,4.0,0.25,"0,250",0.5,3.0,0.167,0.5,1.0,0.5,0.313,1.5,2.5,0.6,1.0,4.0,5.0,2.5,0.0,0.5,1.0,2.5,4.0,Bad
Saddiq Bey,SF,23.0,TOT,56.0,32.0,28.6,4.6,11.3,0.407,"0,407",2.0,5.5,0.358,2.6,5.8,0.454,0.494,3.3,3.8,0.863,1.1,3.5,4.6,1.5,0.9,0.2,1.0,1.6,14.5,Bad
Saddiq Bey,SF,23.0,DET,52.0,30.0,28.8,4.7,11.7,0.404,"0,404",1.9,5.6,0.345,2.8,6.0,0.46,0.488,3.5,4.0,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8,Bad
Saddiq Bey,SF,23.0,ATL,4.0,2.0,24.8,3.3,7.0,0.464,"0,464",2.5,4.3,0.588,0.8,2.8,0.273,0.643,0.8,0.8,0.001,1.3,3.3,4.5,0.5,0.5,0.3,1.0,1.3,9.8,Bad
Khem Birch,C,30.0,TOR,20.0,0.0,8.1,1.0,1.6,0.594,"0,594",0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,Bad
Goga Bitadze,C,23.0,TOT,22.0,0.0,9.6,1.3,2.5,0.527,"0,527",0.2,0.7,0.333,1.1,1.8,0.6,0.573,0.5,1.1,0.48,1.2,1.3,2.5,0.9,0.4,0.5,0.5,1.6,3.4,Bad
Goga Bitadze,C,23.0,IND,21.0,0.0,9.6,1.3,2.5,0.519,"0,519",0.2,0.7,0.286,1.1,1.8,0.605,0.558,0.5,1.1,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,Bad
Goga Bitadze,C,23.0,ORL,1.0,0.0,9.0,2.0,3.0,0.667,"0,667",1.0,1.0,0.001,1.0,2.0,0.5,0.833,1.0,1.0,0.001,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,Bad
Bismack Biyombo,C,30.0,PHO,46.0,9.0,14.0,1.7,3.0,0.572,"0,572",0.0,0.0,,1.7,3.0,0.572,0.572,0.3,1.1,0.314,1.1,3.0,4.1,0.9,0.3,1.3,0.9,1.8,3.8,Bad
Buddy Boeheim,PG,23.0,DET,1.0,0.0,1.0,0.0,0.0,,"0,000",0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
Bogdan Bogdanović,SG,30.0,ATL,36.0,5.0,29.6,5.4,12.3,0.437,"0,437",2.8,7.1,0.394,2.6,5.3,0.495,0.55,1.1,1.4,0.78,0.4,3.0,3.4,3.0,0.9,0.3,1.3,1.7,14.6,Bad
Bojan Bogdanović,PF,33.0,DET,58.0,58.0,31.9,7.2,14.8,0.487,"0,487",2.4,5.9,0.402,4.9,9.0,0.542,0.566,4.6,5.2,0.883,0.6,3.2,3.7,2.6,0.6,0.1,2.3,1.9,21.4,Good
Bol Bol,PF,23.0,ORL,57.0,32.0,22.9,4.2,7.2,0.577,"0,577",0.5,1.5,0.322,3.7,5.7,0.645,0.611,1.2,1.6,0.745,1.1,4.9,6.1,0.8,0.4,1.3,1.7,1.3,10.0,Bad
Leandro Bolmaro,SG,22.0,UTA,14.0,0.0,4.9,0.2,1.4,0.15,"0,150",0.0,0.3,0.0,0.2,1.1,0.188,0.15,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,Bad
Devin Booker,SG,26.0,PHO,35.0,35.0,34.1,9.5,20.1,0.473,"0,473",2.1,6.2,0.347,7.4,13.9,0.529,0.526,5.3,6.3,0.841,0.8,3.8,4.6,5.7,0.8,0.3,2.5,2.8,26.5,Good
Brandon Boston Jr.,SG,21.0,LAC,21.0,1.0,11.8,2.4,5.8,0.421,"0,421",0.6,1.4,0.414,1.9,4.4,0.424,0.471,1.4,1.8,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8,Bad
Chris Boucher,PF,30.0,TOR,56.0,0.0,20.8,3.5,7.2,0.489,"0,489",0.8,2.6,0.315,2.7,4.6,0.585,0.545,1.9,2.5,0.739,2.2,3.7,5.9,0.4,0.7,0.9,0.5,2.0,9.7,Bad
James Bouknight,SG,22.0,CHO,26.0,0.0,13.6,1.5,4.7,0.328,"0,328",0.6,2.5,0.25,0.9,2.2,0.414,0.393,0.6,0.8,0.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.1,4.3,Bad
Jamaree Bouyea,PG,23.0,MIA,4.0,0.0,16.3,1.5,3.3,0.462,"0,462",0.5,1.3,0.4,1.0,2.0,0.5,0.538,0.3,0.5,0.5,0.3,1.0,1.3,1.0,1.0,0.5,1.0,1.3,3.8,Bad
Tony Bradley,C,25.0,CHI,12.0,0.0,2.8,0.5,1.0,0.5,"0,500",0.3,0.4,0.6,0.3,0.6,0.429,0.625,0.3,0.3,0.001,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,Bad
Malaki Branham,SF,19.0,SAS,47.0,14.0,22.4,3.7,8.4,0.446,"0,446",1.2,3.7,0.314,2.6,4.7,0.55,0.515,0.8,1.0,0.792,0.4,1.8,2.2,2.0,0.5,0.1,1.1,1.7,9.5,Bad
Christian Braun,SG,21.0,DEN,57.0,3.0,15.2,1.8,3.5,0.5,"0,500",0.4,1.1,0.391,1.3,2.4,0.551,0.563,0.4,0.7,0.585,0.7,1.7,2.4,0.8,0.5,0.2,0.5,1.2,4.4,Bad
Mikal Bridges,SF,26.0,TOT,61.0,61.0,36.1,6.4,13.8,0.468,"0,468",1.9,4.7,0.395,4.6,9.1,0.505,0.535,2.9,3.2,0.899,1.0,3.4,4.5,3.5,1.2,0.8,1.4,2.0,17.7,Bad
Mikal Bridges,SF,26.0,PHO,56.0,56.0,36.4,6.3,13.6,0.463,"0,463",1.8,4.7,0.387,4.5,9.0,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2,Bad
Mikal Bridges,SF,26.0,BRK,5.0,5.0,32.6,7.8,15.2,0.513,"0,513",2.4,5.0,0.48,5.4,10.2,0.529,0.592,4.4,4.8,0.917,1.4,4.6,6.0,2.8,1.2,1.0,1.8,2.0,22.4,Good
Oshae Brissett,SF,24.0,IND,49.0,1.0,16.0,1.7,4.5,0.388,"0,388",0.8,2.4,0.333,0.9,2.1,0.451,0.477,1.2,1.8,0.693,0.9,2.5,3.4,0.5,0.6,0.2,0.4,1.3,5.5,Bad
Malcolm Brogdon,PG,30.0,BOS,53.0,0.0,25.5,5.2,10.6,0.49,"0,490",2.1,4.4,0.464,3.2,6.2,0.509,0.587,2.4,2.7,0.887,0.6,3.5,4.2,3.7,0.6,0.3,1.6,1.6,14.8,Bad
Dillon Brooks,SF,27.0,MEM,54.0,54.0,30.4,5.5,14.1,0.392,"0,392",1.8,5.7,0.313,3.7,8.3,0.447,0.456,1.8,2.3,0.795,0.6,2.6,3.3,2.5,0.8,0.2,1.5,3.3,14.6,Bad
Bruce Brown,SG,26.0,DEN,61.0,28.0,28.6,4.4,9.0,0.485,"0,485",1.3,3.4,0.38,3.1,5.6,0.55,0.557,1.1,1.5,0.722,0.7,3.2,3.9,3.6,1.0,0.6,1.6,2.4,11.1,Bad
Greg Brown III,PF,21.0,POR,16.0,0.0,5.8,0.7,1.8,0.393,"0,393",0.1,0.4,0.143,0.6,1.3,0.476,0.411,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,Bad
Jaylen Brown,SF,26.0,BOS,50.0,50.0,35.7,9.9,20.3,0.486,"0,486",2.5,7.5,0.336,7.4,12.8,0.574,0.548,4.3,5.5,0.777,1.3,5.8,7.0,3.2,1.1,0.4,3.1,2.7,26.5,Good
Kendall Brown,SG,19.0,IND,6.0,0.0,6.7,0.7,1.2,0.571,"0,571",0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,Bad
Moses Brown,C,23.0,LAC,34.0,1.0,8.5,1.8,2.8,0.635,"0,635",0.0,0.0,,1.8,2.8,0.635,0.635,1.0,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,Bad
Sterling Brown,SG,27.0,LAL,4.0,0.0,6.0,0.0,1.0,0.0,"0,000",0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,Bad
Troy Brown Jr.,SF,23.0,LAL,55.0,31.0,23.9,2.6,6.0,0.434,"0,434",1.3,3.5,0.361,1.4,2.6,0.532,0.538,0.5,0.5,0.963,0.9,3.3,4.2,1.1,0.7,0.1,0.7,1.5,7.0,Bad
Jalen Brunson,PG,26.0,NYK,59.0,59.0,35.2,8.4,17.5,0.479,"0,479",1.8,4.6,0.401,6.5,12.9,0.507,0.531,4.9,5.9,0.834,0.6,3.0,3.6,6.2,0.9,0.3,2.0,2.3,23.6,Good
Thomas Bryant,C,25.0,TOT,47.0,25.0,20.2,4.4,6.9,0.64,"0,640",0.5,1.1,0.431,3.9,5.8,0.679,0.674,1.9,2.5,0.739,1.6,4.9,6.4,0.6,0.3,0.6,0.7,1.8,11.1,Bad
Thomas Bryant,C,25.0,LAL,41.0,25.0,21.4,4.8,7.3,0.654,"0,654",0.5,1.2,0.44,4.3,6.1,0.697,0.691,2.0,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,Bad
Thomas Bryant,C,25.0,DEN,6.0,0.0,12.3,1.5,3.5,0.429,"0,429",0.0,0.2,0.0,1.5,3.3,0.45,0.429,1.3,1.8,0.727,1.3,2.7,4.0,0.0,0.2,0.5,1.0,1.5,4.3,Bad
