Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Jaden Springer,SG,20.0,PHI,7.0,0.0,3.7,1.0,1.7,0.583,"0,583",0.0,0.0,,1.0,1.7,0.583,0.583,0.4,0.6,0.75,0.6,0.4,1.0,0.1,0.3,0.3,0.1,1.0,2.4,Bad
Lamar Stevens,PF,25.0,CLE,45.0,18.0,17.4,2.0,4.4,0.457,"0,457",0.4,1.5,0.303,1.6,3.0,0.534,0.508,0.6,0.9,0.718,0.6,2.4,3.0,0.6,0.4,0.3,0.5,1.2,5.1,Bad
Isaiah Stewart,C,21.0,DET,50.0,47.0,28.3,3.9,8.8,0.442,"0,442",1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,Bad
Max Strus,SF,26.0,MIA,60.0,27.0,29.9,4.3,10.7,0.399,"0,399",2.5,7.6,0.336,1.8,3.2,0.55,0.517,1.2,1.3,0.875,0.7,2.8,3.6,2.2,0.6,0.2,1.0,2.2,12.3,Bad
Jalen Suggs,PG,21.0,ORL,37.0,14.0,23.0,3.3,8.1,0.411,"0,411",1.1,3.7,0.304,2.2,4.4,0.503,0.482,1.6,2.2,0.707,0.9,1.9,2.8,3.3,1.2,0.5,1.9,2.4,9.4,Bad
Edmond Sumner,SG,27.0,BRK,46.0,12.0,14.5,2.5,5.3,0.459,"0,459",0.6,1.8,0.346,1.8,3.6,0.515,0.516,1.9,2.1,0.926,0.2,1.3,1.6,1.4,0.7,0.2,1.0,1.7,7.4,Bad
Cole Swider,SF,23.0,LAL,6.0,0.0,6.7,0.5,1.5,0.333,"0,333",0.5,1.3,0.375,0.0,0.2,0.0,0.5,0.0,0.0,,0.2,1.0,1.2,0.7,0.0,0.0,0.0,0.5,1.5,Bad
Jae'Sean Tate,SF,27.0,HOU,22.0,7.0,21.5,3.4,7.2,0.468,"0,468",0.4,1.4,0.29,3.0,5.8,0.512,0.497,1.3,1.9,0.667,1.5,2.2,3.7,2.6,0.6,0.2,1.6,3.3,8.4,Bad
Jayson Tatum,PF,24.0,BOS,58.0,58.0,37.3,9.8,21.3,0.46,"0,460",3.3,9.3,0.351,6.5,12.0,0.544,0.536,7.2,8.4,0.864,1.1,7.6,8.7,4.7,1.0,0.8,3.0,2.1,30.1,Good
Terry Taylor,PF,23.0,TOT,27.0,2.0,8.6,1.2,2.5,0.478,"0,478",0.1,0.7,0.222,1.0,1.8,0.571,0.507,0.2,0.3,0.714,0.8,0.6,1.4,0.4,0.1,0.2,0.3,0.9,2.7,Bad
Terry Taylor,PF,23.0,IND,26.0,2.0,8.8,1.2,2.5,0.462,"0,462",0.2,0.7,0.222,1.0,1.8,0.553,0.492,0.2,0.3,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7,Bad
Terry Taylor,PF,23.0,CHI,1.0,0.0,4.0,2.0,2.0,0.001,"1,000",0.0,0.0,,2.0,2.0,0.001,0.001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,Bad
Garrett Temple,SG,36.0,NOP,19.0,0.0,7.0,0.8,1.9,0.405,"0,405",0.5,1.1,0.429,0.3,0.8,0.375,0.527,0.2,0.2,0.75,0.1,0.5,0.6,0.5,0.5,0.1,0.2,0.7,2.2,Bad
Dalen Terry,SG,20.0,CHI,25.0,0.0,5.1,0.7,1.6,0.45,"0,450",0.2,0.6,0.333,0.5,1.0,0.52,0.513,0.2,0.4,0.5,0.3,0.5,0.8,0.6,0.2,0.2,0.2,0.4,1.8,Bad
Daniel Theis,C,30.0,IND,7.0,1.0,15.6,3.0,6.3,0.477,"0,477",0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,Bad
Cam Thomas,SG,21.0,BRK,43.0,3.0,17.2,3.7,8.1,0.454,"0,454",0.9,2.3,0.412,2.8,5.9,0.47,0.511,3.0,3.6,0.85,0.2,1.5,1.7,1.6,0.4,0.1,1.0,1.0,11.3,Bad
Klay Thompson,SG,32.0,GSW,49.0,49.0,32.7,7.9,18.4,0.428,"0,428",4.4,10.8,0.408,3.5,7.7,0.456,0.548,1.9,2.1,0.892,0.7,3.3,3.9,2.4,0.7,0.3,1.7,2.0,22.1,Good
JT Thor,PF,20.0,CHO,50.0,2.0,11.2,0.9,2.5,0.373,"0,373",0.3,1.2,0.258,0.6,1.3,0.484,0.437,0.4,0.6,0.621,0.5,1.2,1.7,0.4,0.3,0.2,0.4,0.8,2.6,Bad
Matisse Thybulle,SG,25.0,TOT,53.0,10.0,13.4,1.2,2.6,0.436,"0,436",0.5,1.5,0.354,0.6,1.2,0.541,0.536,0.2,0.2,0.692,0.4,1.0,1.5,0.6,1.0,0.3,0.2,1.5,3.0,Bad
Matisse Thybulle,SG,25.0,PHI,49.0,6.0,12.1,1.0,2.4,0.431,"0,431",0.4,1.3,0.333,0.6,1.1,0.547,0.522,0.2,0.2,0.75,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7,Bad
Matisse Thybulle,SG,25.0,POR,4.0,4.0,29.8,2.8,6.0,0.458,"0,458",1.8,4.0,0.438,1.0,2.0,0.5,0.604,0.0,0.3,0.0,0.5,3.0,3.5,1.8,2.3,1.0,0.8,3.8,7.3,Bad
Xavier Tillman Sr.,PF,24.0,MEM,40.0,9.0,15.4,2.3,3.7,0.612,"0,612",0.1,0.3,0.3,2.2,3.4,0.635,0.622,0.8,1.5,0.517,1.8,2.3,4.1,1.2,0.8,0.4,0.6,1.3,5.4,Bad
Isaiah Todd,PF,21.0,WAS,4.0,0.0,3.3,0.3,1.0,0.25,"0,250",0.0,0.8,0.0,0.3,0.3,0.001,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Bad
Obi Toppin,PF,24.0,NYK,48.0,0.0,14.8,2.3,5.6,0.414,"0,414",1.1,3.3,0.346,1.2,2.3,0.514,0.517,0.5,0.7,0.758,0.5,2.6,3.1,0.8,0.3,0.2,0.5,1.0,6.3,Bad
Juan Toscano-Anderson,SF,29.0,TOT,33.0,7.0,12.6,1.1,2.2,0.486,"0,486",0.2,0.7,0.217,0.9,1.5,0.608,0.52,0.3,0.5,0.733,0.5,1.8,2.3,0.9,0.4,0.2,0.6,1.6,2.7,Bad
Juan Toscano-Anderson,SF,29.0,LAL,30.0,7.0,12.2,1.1,2.2,0.5,"0,500",0.1,0.7,0.2,1.0,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2.0,0.8,0.3,0.2,0.6,1.5,2.7,Bad
Juan Toscano-Anderson,SF,29.0,UTA,3.0,0.0,16.7,1.0,2.7,0.375,"0,375",0.3,1.0,0.333,0.7,1.7,0.4,0.438,0.0,0.0,,0.7,4.3,5.0,1.3,0.7,0.3,1.0,2.0,2.3,Bad
Karl-Anthony Towns,PF,27.0,MIN,21.0,21.0,33.8,7.3,14.4,0.505,"0,505",1.8,5.6,0.325,5.5,8.9,0.618,0.568,4.4,5.0,0.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8,Good
Gary Trent Jr.,SG,24.0,TOR,53.0,43.0,33.6,6.5,14.9,0.434,"0,434",2.6,7.2,0.366,3.8,7.6,0.499,0.523,2.9,3.4,0.84,0.4,2.1,2.5,1.6,1.6,0.3,0.9,1.7,18.4,Bad
P.J. Tucker,PF,37.0,PHI,58.0,58.0,26.2,1.3,2.9,0.435,"0,435",0.7,1.7,0.426,0.5,1.2,0.449,0.562,0.3,0.4,0.864,1.3,2.8,4.1,0.8,0.5,0.2,0.7,2.4,3.6,Bad
Myles Turner,C,26.0,IND,52.0,52.0,29.9,6.5,11.9,0.545,"0,545",1.7,4.2,0.402,4.8,7.7,0.623,0.616,3.5,4.4,0.787,1.6,6.4,8.0,1.3,0.6,2.3,1.7,3.3,18.1,Bad
Stanley Umude,SG,23.0,DET,1.0,0.0,2.0,0.0,1.0,0.0,"0,000",0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Bad
Jonas Valančiūnas,C,30.0,NOP,61.0,61.0,24.9,5.6,10.4,0.542,"0,542",0.5,1.5,0.337,5.1,8.9,0.577,0.566,2.5,3.0,0.821,2.8,6.9,9.7,1.7,0.3,0.5,1.9,3.1,14.2,Bad
Jarred Vanderbilt,PF,23.0,TOT,57.0,44.0,24.0,3.4,5.9,0.567,"0,567",0.4,1.0,0.339,3.0,4.9,0.615,0.596,1.3,1.9,0.676,2.4,5.6,7.9,2.7,1.1,0.3,1.3,2.5,8.3,Bad
Jarred Vanderbilt,PF,23.0,UTA,52.0,41.0,24.1,3.3,6.0,0.556,"0,556",0.4,1.1,0.333,3.0,4.9,0.606,0.587,1.3,2.0,0.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3,Bad
Jarred Vanderbilt,PF,23.0,LAL,5.0,3.0,22.4,3.6,5.2,0.692,"0,692",0.2,0.4,0.5,3.4,4.8,0.708,0.712,1.2,1.2,0.001,3.0,5.8,8.8,2.4,1.6,0.2,1.0,1.8,8.6,Bad
Fred VanVleet,PG,28.0,TOR,50.0,50.0,36.9,6.4,16.3,0.394,"0,394",3.0,8.7,0.344,3.4,7.6,0.451,0.486,3.8,4.3,0.893,0.5,3.8,4.3,6.6,1.6,0.6,1.9,2.9,19.7,Bad
Devin Vassell,SG,22.0,SAS,29.0,24.0,31.3,7.1,16.0,0.445,"0,445",2.8,7.0,0.404,4.3,9.0,0.477,0.533,2.4,3.0,0.793,0.2,3.8,4.0,3.6,1.2,0.4,1.6,1.4,19.4,Bad
Gabe Vincent,PG,26.0,MIA,48.0,14.0,26.3,3.4,8.6,0.396,"0,396",1.8,5.4,0.327,1.6,3.2,0.513,0.499,1.2,1.4,0.877,0.4,1.9,2.3,2.5,0.9,0.1,1.5,2.5,9.8,Bad
Noah Vonleh,C,27.0,BOS,23.0,1.0,7.4,0.5,1.0,0.458,"0,458",0.0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,0.001,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,Bad
Nikola Vučević,C,32.0,CHI,61.0,61.0,33.9,7.3,14.1,0.514,"0,514",1.6,4.6,0.349,5.7,9.5,0.595,0.571,1.6,1.9,0.822,2.1,9.4,11.5,3.3,0.7,0.8,1.7,2.2,17.8,Bad
Dean Wade,PF,26.0,CLE,34.0,9.0,20.9,1.8,4.2,0.434,"0,434",1.1,2.9,0.38,0.7,1.3,0.558,0.566,0.4,0.7,0.652,0.5,3.2,3.7,0.9,0.7,0.5,0.4,2.2,5.2,Bad
Franz Wagner,SF,21.0,ORL,61.0,61.0,33.2,6.9,14.1,0.485,"0,485",1.7,4.6,0.369,5.2,9.5,0.541,0.545,3.4,4.1,0.833,0.9,3.1,4.0,3.5,0.9,0.2,2.1,2.3,18.8,Bad
Moritz Wagner,C,25.0,ORL,41.0,14.0,21.0,3.6,7.4,0.492,"0,492",1.0,3.1,0.318,2.6,4.2,0.621,0.559,2.9,3.4,0.855,1.3,3.3,4.6,1.7,0.7,0.2,1.2,2.7,11.1,Bad
Ish Wainright,SF,28.0,PHO,44.0,1.0,15.5,1.5,3.8,0.389,"0,389",1.0,2.8,0.344,0.5,1.0,0.524,0.518,0.5,0.6,0.84,0.8,1.3,2.2,1.0,0.8,0.3,0.4,2.0,4.4,Bad
Jabari Walker,SF,20.0,POR,40.0,0.0,9.1,1.1,2.4,0.443,"0,443",0.1,0.7,0.192,1.0,1.8,0.535,0.469,0.5,0.7,0.724,0.8,1.2,2.1,0.5,0.1,0.2,0.4,1.0,2.8,Bad
Kemba Walker,PG,32.0,DAL,9.0,1.0,16.0,2.7,6.3,0.421,"0,421",0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,Bad
Lonnie Walker IV,SG,24.0,LAL,44.0,32.0,25.9,4.7,10.3,0.454,"0,454",1.7,4.7,0.369,2.9,5.6,0.524,0.538,1.8,2.0,0.885,0.3,1.8,2.0,1.3,0.6,0.3,0.9,1.4,12.8,Bad
John Wall,PG,32.0,LAC,34.0,3.0,22.2,4.1,9.9,0.408,"0,408",1.0,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,Bad
T.J. Warren,PF-SF,29.0,TOT,28.0,0.0,18.0,3.8,7.3,0.512,"0,512",0.6,1.8,0.347,3.1,5.6,0.564,0.554,1.0,1.2,0.818,0.5,2.3,2.8,1.0,0.6,0.3,0.6,1.6,9.1,Bad
T.J. Warren,PF,29.0,BRK,26.0,0.0,18.8,3.9,7.7,0.51,"0,510",0.6,1.8,0.333,3.3,5.8,0.566,0.55,1.0,1.3,0.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5,Bad
T.J. Warren,SF,29.0,PHO,2.0,0.0,7.5,1.5,2.5,0.6,"0,600",0.5,0.5,0.001,1.0,2.0,0.5,0.7,0.0,0.0,,0.5,2.0,2.5,0.0,0.5,0.0,0.0,0.5,3.5,Bad
Duane Washington Jr.,SG,22.0,PHO,31.0,3.0,12.7,3.0,8.3,0.367,"0,367",1.3,3.6,0.36,1.7,4.7,0.372,0.445,0.5,0.8,0.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9,Bad
P.J. Washington,PF,24.0,CHO,60.0,60.0,32.9,5.8,13.0,0.444,"0,444",2.0,5.8,0.35,3.8,7.2,0.518,0.521,1.7,2.3,0.748,1.0,3.7,4.8,2.4,0.9,1.1,1.4,2.7,15.3,Bad
TyTy Washington Jr.,PG,21.0,HOU,25.0,2.0,14.3,1.9,5.3,0.361,"0,361",0.6,2.5,0.222,1.4,2.8,0.486,0.414,0.4,0.6,0.625,0.1,1.4,1.5,1.6,0.5,0.0,0.4,1.1,4.8,Bad
Yuta Watanabe,SF,28.0,BRK,44.0,0.0,17.8,2.3,4.4,0.521,"0,521",1.2,2.5,0.482,1.1,1.9,0.571,0.657,0.7,0.9,0.744,0.6,1.9,2.5,0.9,0.4,0.3,0.4,1.5,6.5,Bad
Lindy Waters III,SG,25.0,OKC,25.0,0.0,11.2,1.4,3.6,0.396,"0,396",1.2,3.4,0.369,0.2,0.3,0.714,0.566,0.2,0.3,0.75,0.3,1.4,1.7,0.7,0.4,0.2,0.2,0.9,4.4,Bad
Trendon Watford,PF,22.0,POR,44.0,2.0,16.4,2.1,3.7,0.578,"0,578",0.4,0.8,0.485,1.8,2.9,0.602,0.627,1.1,1.6,0.714,0.6,2.7,3.3,1.7,0.3,0.1,1.0,1.9,5.7,Bad
Peyton Watson,SG,20.0,DEN,13.0,0.0,3.2,0.8,1.4,0.556,"0,556",0.2,0.2,0.667,0.6,1.2,0.533,0.611,0.0,0.2,0.0,0.2,0.4,0.6,0.1,0.0,0.1,0.2,0.2,1.7,Bad
Blake Wesley,SG,19.0,SAS,17.0,1.0,13.9,1.7,4.6,0.372,"0,372",0.5,1.2,0.429,1.2,3.4,0.351,0.429,0.5,0.9,0.6,0.2,1.4,1.5,1.5,0.4,0.1,1.4,1.9,4.5,Bad
Russell Westbrook,PG,34.0,TOT,54.0,5.0,28.8,5.9,13.9,0.422,"0,422",1.2,4.1,0.297,4.7,9.9,0.473,0.465,3.0,4.5,0.664,1.1,5.0,6.1,7.6,1.1,0.4,3.6,2.4,15.9,Bad
Russell Westbrook,PG,34.0,LAL,52.0,3.0,28.7,5.8,14.0,0.417,"0,417",1.2,4.1,0.296,4.6,9.9,0.467,0.46,3.0,4.6,0.655,1.1,5.0,6.2,7.5,1.0,0.4,3.5,2.3,15.9,Bad
Russell Westbrook,PG,34.0,LAC,2.0,2.0,32.5,6.5,11.5,0.565,"0,565",1.0,3.0,0.333,5.5,8.5,0.647,0.609,3.0,3.0,0.001,0.5,4.5,5.0,9.0,3.0,0.0,4.5,4.5,17.0,Bad
Coby White,SG,22.0,CHI,53.0,1.0,22.4,3.2,7.5,0.423,"0,423",1.6,4.6,0.355,1.5,2.9,0.529,0.531,0.9,1.0,0.836,0.2,2.5,2.7,2.0,0.7,0.1,0.8,1.7,8.9,Bad
Derrick White,SG,28.0,BOS,62.0,52.0,27.7,4.1,9.0,0.455,"0,455",1.8,4.7,0.384,2.3,4.4,0.531,0.554,2.0,2.3,0.864,0.6,2.8,3.3,3.8,0.7,0.9,1.1,2.2,12.0,Bad
Jack White,SF,25.0,DEN,15.0,0.0,3.1,0.5,1.1,0.438,"0,438",0.2,0.5,0.375,0.3,0.5,0.5,0.531,0.1,0.2,0.667,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,1.3,Bad
Joe Wieskamp,SF,23.0,TOR,3.0,0.0,8.0,1.0,2.7,0.375,"0,375",1.0,2.3,0.429,0.0,0.3,0.0,0.563,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,3.0,Bad
Aaron Wiggins,SG,24.0,OKC,48.0,12.0,18.5,2.4,4.8,0.504,"0,504",0.7,1.7,0.398,1.8,3.1,0.564,0.575,0.8,1.0,0.83,1.0,2.1,3.1,1.4,0.5,0.2,0.8,1.6,6.4,Bad
Andrew Wiggins,SF,27.0,GSW,37.0,37.0,32.2,6.8,14.3,0.473,"0,473",2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,Bad
Grant Williams,PF,24.0,BOS,61.0,21.0,27.3,2.8,6.2,0.457,"0,457",1.5,3.7,0.404,1.3,2.5,0.536,0.577,1.3,1.6,0.827,1.1,3.7,4.8,1.8,0.6,0.4,1.1,2.6,8.4,Bad
Jalen Williams,SG,21.0,OKC,56.0,43.0,29.2,5.0,9.8,0.509,"0,509",0.9,2.7,0.325,4.1,7.1,0.58,0.554,1.6,2.0,0.763,1.0,3.2,4.2,2.9,1.3,0.5,1.6,2.6,12.4,Bad
Jaylin Williams,PF,20.0,OKC,28.0,15.0,16.4,2.1,4.4,0.472,"0,472",0.9,1.8,0.48,1.2,2.6,0.466,0.569,0.6,1.0,0.667,0.8,3.8,4.6,1.5,0.4,0.2,0.7,1.9,5.6,Bad
Kenrich Williams,PF,28.0,OKC,52.0,10.0,22.6,3.3,6.5,0.516,"0,516",1.0,2.5,0.379,2.4,3.9,0.605,0.591,0.3,0.7,0.432,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0,Bad
Mark Williams,C,21.0,CHO,32.0,7.0,16.8,3.3,5.2,0.648,"0,648",0.0,0.0,0.0,3.3,5.2,0.648,0.648,1.5,2.0,0.723,1.9,4.3,6.2,0.4,0.7,1.2,0.8,2.2,8.2,Bad
Patrick Williams,PF,21.0,CHI,61.0,58.0,28.9,3.8,8.3,0.46,"0,460",1.4,3.4,0.405,2.4,4.9,0.5,0.544,1.1,1.3,0.863,1.0,3.4,4.4,1.4,0.8,0.8,1.3,1.9,10.2,Bad
Robert Williams,C,25.0,BOS,26.0,16.0,24.2,3.9,5.2,0.75,"0,750",0.0,0.0,0.0,3.9,5.2,0.756,0.75,0.6,1.0,0.6,3.1,5.5,8.6,1.5,0.5,1.1,0.9,1.8,8.4,Bad
Vince Williams Jr.,SG,22.0,MEM,9.0,0.0,5.4,0.3,1.4,0.231,"0,231",0.1,1.0,0.111,0.2,0.4,0.5,0.269,0.0,0.0,,0.2,0.6,0.8,0.3,0.4,0.1,0.1,0.7,0.8,Bad
Ziaire Williams,SF,21.0,MEM,29.0,3.0,16.9,2.3,5.5,0.419,"0,419",0.7,2.8,0.244,1.6,2.7,0.603,0.481,0.4,0.6,0.765,0.4,2.0,2.4,0.8,0.4,0.2,1.0,1.8,5.8,Bad
Zion Williamson,PF,22.0,NOP,29.0,29.0,33.0,9.8,16.2,0.608,"0,608",0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0,Good
Justise Winslow,SF,26.0,POR,29.0,11.0,26.8,2.8,6.8,0.409,"0,409",0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1.0,0.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,Bad
James Wiseman,C,21.0,TOT,25.0,2.0,14.2,3.3,5.3,0.617,"0,617",0.1,0.2,0.333,3.2,5.1,0.63,0.624,1.2,1.8,0.674,1.0,3.2,4.2,0.6,0.1,0.3,0.8,2.0,7.9,Bad
James Wiseman,C,21.0,GSW,21.0,0.0,12.5,2.8,4.5,0.628,"0,628",0.0,0.1,0.5,2.8,4.4,0.63,0.633,1.2,1.8,0.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9,Bad
James Wiseman,C,21.0,DET,4.0,2.0,23.5,5.8,9.8,0.59,"0,590",0.3,1.0,0.25,5.5,8.8,0.629,0.603,1.3,2.0,0.625,2.0,6.0,8.0,0.0,0.0,0.3,1.3,2.5,13.0,Bad
Christian Wood,C,27.0,DAL,50.0,17.0,27.4,6.4,12.2,0.525,"0,525",1.7,4.6,0.376,4.7,7.6,0.615,0.595,3.2,4.1,0.763,1.4,6.6,8.0,1.7,0.4,1.2,1.9,2.7,17.6,Bad
Delon Wright,PG,30.0,WAS,31.0,3.0,22.6,2.5,5.3,0.467,"0,467",0.9,2.4,0.36,1.6,2.9,0.556,0.548,0.9,1.0,0.903,1.1,2.1,3.2,3.5,1.9,0.3,1.0,1.3,6.7,Bad
McKinley Wright IV,PG,24.0,DAL,20.0,1.0,10.3,1.2,2.5,0.469,"0,469",0.2,0.7,0.286,1.0,1.8,0.543,0.51,0.4,0.6,0.636,0.3,1.0,1.3,1.9,0.4,0.2,0.6,0.9,2.9,Bad
Thaddeus Young,PF,34.0,TOR,49.0,9.0,15.5,2.1,3.8,0.562,"0,562",0.1,0.6,0.161,2.0,3.1,0.643,0.576,0.4,0.5,0.692,1.4,1.8,3.2,1.4,1.1,0.1,0.8,1.8,4.7,Bad
Trae Young,PG,24.0,ATL,54.0,54.0,35.3,8.5,19.8,0.429,"0,429",2.2,6.6,0.327,6.3,13.1,0.481,0.484,7.9,8.9,0.889,0.7,2.2,2.9,10.2,1.1,0.1,4.1,1.5,27.0,Good
Cody Zeller,C,30.0,MIA,3.0,0.0,15.7,2.7,4.0,0.667,"0,667",0.0,0.0,0.0,2.7,4.0,0.667,0.667,1.0,2.0,0.5,1.7,1.0,2.7,1.0,0.3,1.0,0.7,3.0,6.3,Bad
Ivica Zubac,C,25.0,LAC,59.0,59.0,29.4,4.0,6.5,0.617,"0,617",0.0,0.0,0.0,4.0,6.5,0.62,0.617,2.2,3.1,0.699,3.3,6.8,10.1,1.1,0.4,1.3,1.7,2.9,10.2,Bad
